資料提供日期：106年03月01日
事故類別：A1類
發生時間,發生地點,死亡受傷人數,車種
105年01月01日 02時45分,彰化縣鹿港鎮鹿工北三路工業西七路(口),死亡1;受傷1,自用-小客車;自用-小客車
105年01月01日 04時37分,宜蘭縣員山鄉金山東路397號宜16線0公里100公尺處西向內側車道,死亡1;受傷0,普通重型-機車
105年01月01日 05時15分,屏東縣萬巒鄉萬和村南進路1之9號前(附近),死亡1;受傷1,普通重型-機車;普通重型-機車
105年01月01日 05時50分,屏東縣屏東市瑞光里香揚巷1-20號(附近),死亡1;受傷0,自用-小客車;行人-人
105年01月01日 05時56分,彰化縣員林市萬年路1段員集路(口),死亡1;受傷0,普通重型-機車;營業用-半聯結車
105年01月01日 07時23分,臺南市白河區玉豐里南89線04公里100公尺處南向外側車道,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月01日 08時19分,臺南市玉井區竹圍里臺3線371公里500公尺處南向慢車道,死亡1;受傷0,自用-小貨車;普通重型-機車
105年01月01日 12時05分,桃園市新屋區下田里龍莊路172號旁(附近),死亡1;受傷0,自用-小客車;普通重型-機車
105年01月01日 16時40分,南投縣南投市營南里防汛道路上(南投市路燈編號19196號處)(附近),死亡1;受傷1,普通重型-機車;腳踏自行車-慢車
105年01月01日 17時54分,臺南市北區小東路成杏校區前(附近),死亡1;受傷1,行人-人;普通重型-機車
105年01月01日 23時15分,臺東縣卑南鄉台9線360公里600公尺處南向外側車道,死亡1;受傷0,普通重型-機車
105年01月02日 05時45分,高雄市岡山區嘉興路641號前0公尺數台19甲65公里900公尺處北向一般車道(未劃分車道641號永興木業前,死亡1;受傷1,自用-小貨車;自用-小貨車
105年01月02日 15時33分,臺中市龍井區山腳里中山二路二段中山幹36號G4057BB29電桿(附近),死亡1;受傷0,普通重型-機車
105年01月02日 18時09分,雲林縣莿桐鄉埔尾村油車路台糖鐵道路〈埔尾29電桿旁〉(附近),死亡1;受傷0,自用-小客車;行人-人
105年01月02日 18時20分,臺南市善化區國道三號343公里00公尺處北向內側車道,死亡1;受傷1,普通重型-機車;自用-小客車
105年01月03日 03時10分,高雄市前鎮區班超路前0公尺數崗山中街路口,死亡1;受傷2,普通重型-機車;普通重型-機車;普通重型-機車
105年01月03日 06時24分,臺南市新營區太北里太子宮146之28號前(附近)臺19甲線2公里800公尺處北向機車優先車道,死亡1;受傷1,行人-人;普通重型-機車
105年01月04日 12時05分,嘉義縣民雄鄉國道一號259公里250公尺處北向外側車道,死亡1;受傷0,營業用-半聯結車;營業用-半聯結車
105年01月05日 11時28分,彰化縣彰化市國道一號192公里100公尺處南向內側車道,死亡1;受傷3,自用-小客車;自用-小客車;自用-小客車;自用-小客車
105年01月05日 14時46分,屏東縣潮州鎮晉江路1號北向車道(附近),死亡1;受傷0,自用-小客車;普通重型-機車
105年01月05日 19時52分,新竹縣橫山鄉中豐路二段269號前路口(附近),死亡1;受傷0,自用-小客車;行人-人
105年01月05日 19時58分,嘉義縣布袋鎮新厝里台17線125公里921公尺處北向外側車道,死亡1;受傷0,自用-小貨車;普通輕型-機車
105年01月05日 20時25分,苗栗縣頭份市濫坑里尖豐路721號前(附近),死亡1;受傷1,普通重型-機車;普通重型-機車
105年01月05日 23時18分,雲林縣莿桐鄉延平路223號,死亡2;受傷0,自用-小客車;自用-小客車
105年01月06日 07時24分,臺中市沙鹿區六路里平等路平等五街(口),死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車
105年01月06日 13時22分,臺南市北區北安路一段241號,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月06日 15時50分,高雄市前金區村中華三路前0公尺數六合二路路口,死亡1;受傷0,自用-大貨車;行人-人
105年01月06日 19時00分,高雄市橋頭區村甲樹路前0公尺數,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月06日 20時00分,臺南市安南區長和路二段12巷213弄,死亡1;受傷0,自用-小客車;行人-人
105年01月06日 20時10分,新北市三重區三和路4段32巷前0公尺數32巷,死亡1;受傷0,普通重型-機車;營業用-曳引車
105年01月07日 04時42分,宜蘭縣冬山鄉冬山路三段301巷冬山路(口)台9線92公里900公尺處南向中外車道,死亡1;受傷0,人力車-慢車;自用-小貨車
105年01月07日 08時46分,雲林縣斗六市國道三號262公里100公尺處北向外側車道,死亡1;受傷0,自用-大貨車;其他人-人;自用-大貨車
105年01月07日 17時45分,高雄市左營區崇德路前0公尺數文康路路口,死亡1;受傷0,自用-小客車;行人-人
105年01月07日 21時40分,南投縣埔里鎮向善里中山路四段觀音3號隧道口內(附近)台14線49公里500公尺處東向內側車道,死亡1;受傷1,普通重型-機車;普通重型-機車
105年01月08日 02時08分,臺中市西屯區潮洋里臺灣大道近朝富路(附近),死亡1;受傷0,普通重型-機車
105年01月08日 04時20分,屏東縣枋寮鄉保生村里中正大路5號之7(附近),死亡1;受傷0,自用-大貨車
105年01月08日 05時28分,高雄市小港區沿海一路前0公尺數長興街口路口,死亡1;受傷0,自用-小客車;行人-人
105年01月08日 06時14分,臺中市北屯區新平里中清路二段365號,死亡1;受傷0,行人-人;自用-小貨車
105年01月08日 07時50分,雲林縣斗南鎮大東里大東148之2號(新崙所轄)(附近),死亡1;受傷0,普通重型-機車;自用-小客車
105年01月08日 09時20分,苗栗縣南庄鄉中正路與民生街口(附近),死亡1;受傷0,自用-小客車;行人-人
105年01月08日 09時45分,雲林縣口湖鄉台17線與水井路口(附近),死亡1;受傷0,普通重型-機車;自用-小貨車
105年01月08日 10時41分,新北市瑞芳區明燈路1段23號前0公尺數23號,死亡1;受傷1,自用-小貨車;普通重型-機車
105年01月08日 17時09分,臺中市西屯區潮洋里龍德路二段與龍富二十二路口(附近),死亡1;受傷0,自用-小客車;行人-人
105年01月08日 19時10分,雲林縣斗南鎮靖興里延平路三段175號台一線246公里500公尺處北向慢車道,死亡1;受傷0,自用-小貨車;普通重型-機車;營業用-曳引車
105年01月09日 05時05分,臺東縣台東市豐原街478巷10097650號電桿處(附近),死亡1;受傷0,普通重型-機車
105年01月09日 11時15分,桃園市蘆竹區坑口里南山北路二段芝菁分線28號電桿前(附近),死亡1;受傷0,普通重型-機車
105年01月09日 11時53分,臺中市烏日區螺潭里溪南路二段68巷與溪南路二段68巷250巷口(附近),死亡1;受傷0,營業用-半聯結車;普通重型-機車
105年01月09日 14時10分,南投縣埔里鎮信義路中華路(口)台14線057公里100公尺處北向內側車道,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
105年01月10日 06時32分,雲林縣麥寮鄉中興村工業路東向快車道(長庚醫院前)(附近),死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車
105年01月10日 08時00分,臺南市善化區東昌里臺1線北上310.7公里處(附近)臺1線310公里700公尺處北向外側車道,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月10日 09時40分,屏東縣東港鎮興東路65-12號(附近),死亡1;受傷0,腳踏自行車-慢車;自用-小客車
105年01月10日 19時26分,高雄市岡山區為隨路前0公尺數,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月10日 20時32分,桃園市八德區興仁里中山一路82-1號,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車
105年01月10日 23時00分,雲林縣虎尾鎮興中里清雲路145線17公里500公尺處北向一般車道,死亡1;受傷0,行人-人;自用-小客車
105年01月11日 05時59分,新竹市東區光復路二段481號,死亡1;受傷0,自用-小客車;拼裝車-其他車
105年01月11日 06時22分,彰化縣和美鎮彰草路3段,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月11日 07時36分,嘉義縣東石鄉龍港村166線4公里100公尺處東向一般車道,死亡1;受傷1,普通重型-機車;自用-小客車
105年01月11日 11時27分,新北市板橋區臺65線道路前0公尺數5.3K處(新莊往土城方向),死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車;自用-小客車
105年01月11日 13時23分,花蓮縣吉安鄉華工六路90巷南濱路(口)-光華所轄區(附近)193線21公里0公尺處北向外側車道,死亡3;受傷0,自用-曳引車;自用-小貨車;自用-小貨車;自用-小貨車
105年01月11日 21時08分,新北市樹林區大安路前0公尺數潭興街路口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
105年01月12日 01時26分,新北市淡水區中正路1段87巷前0公尺數87巷,死亡1;受傷4,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
105年01月12日 07時29分,彰化縣彰化市師大路對面(卦山所),死亡1;受傷0,民營客運-大客車;普通重型-機車
105年01月12日 19時53分,臺南市白河區河東里172線032公里600公尺處西向外側車道,死亡1;受傷0,普通重型-機車
105年01月13日 02時00分,臺東縣台東市建農里知本路二段育樂路(口)台11線175公里250公尺處北向外側車道,死亡1;受傷0,普通重型-機車;營業用-大貨車
105年01月13日 04時43分,高雄市旗山區村旗南三路167號前0公尺數167之31號,死亡1;受傷0,營業用-大貨車;普通重型-機車
105年01月13日 12時38分,桃園市楊梅區社子里民生路新富64A電桿對面(附近),死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月14日 10時58分,臺中市北區賴厝里漢口路四段214號,死亡1;受傷1,普通重型-機車;行人-人
105年01月14日 20時43分,新竹縣湖口鄉成功路八德路(口),死亡1;受傷0,自用-小客車
105年01月15日 02時52分,新北市板橋區民權路前0公尺數中山路路口,死亡1;受傷1,自用-小客車;普通重型-機車;自用-小客車
105年01月15日 19時18分,臺中市清水區＊榔里鰲新路111巷旁。(附近),死亡1;受傷1,其他車-其他車;普通重型-機車;自用-小客車
105年01月15日 19時35分,臺北市大安區敦化南路1段289號前0公尺數289號,死亡1;受傷0,租賃車-小客車;行人-人
105年01月15日 22時17分,臺中市烏日區山線202公里705公尺處成功東路,死亡1;受傷0,行人-人;火車-其他車
105年01月16日 09時01分,桃園市大溪區介壽路570號,死亡1;受傷0,普通重型-機車
105年01月16日 09時30分,南投縣仁愛鄉台14線72公里550公尺處東向外側車道,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
105年01月16日 09時32分,臺中市清水區國道四號4公里400公尺處西向外側路肩車道,死亡1;受傷0,自用-小客車;自用-小客車
105年01月16日 13時03分,嘉義縣水上鄉水上村中華路199巷50號,死亡1;受傷0,自用-小貨車;普通重型-機車
105年01月16日 14時10分,新竹縣關西鎮錦山里錦山20-5號(附近),死亡1;受傷1,大型重型1-機車;行人-人;營業用-大貨車
105年01月16日 16時30分,臺南市新市區大社里大社288號前路口(附近),死亡1;受傷0,自用-小客車;普通重型-機車
105年01月17日 09時40分,臺北市萬華區華中橋路前0公尺數機車道南往北,死亡1;受傷0,行人-人;普通輕型-機車
105年01月17日 10時19分,新北市新莊區大漢橋路前0公尺數機車道往新莊近下橋處,死亡1;受傷0,普通重型-機車
105年01月17日 11時59分,彰化縣二林鎮斗苑路2段,死亡1;受傷3,自用-小客車;計程車-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
105年01月17日 17時43分,屏東縣恆春鎮大光里砂尾路段(墾4-1道路21公里處)(附近),死亡1;受傷1,普通重型-機車;自用-小客車
105年01月17日 17時55分,新北市樹林區中山路2段235號前0公尺數235號,死亡1;受傷0,行人-人;計程車-小客車;自用-小客車;自用-小客車
105年01月17日 19時43分,宜蘭縣羅東鎮博愛路16號,死亡1;受傷0,自用-小客車;行人-人
105年01月17日 20時51分,高雄市橋頭區村成功北路前0公尺數筆秀路路口,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月18日 01時44分,新竹市東區東大路一段北大路(口),死亡1;受傷0,普通重型-機車;自用-小客車
105年01月18日 07時55分,雲林縣麥寮鄉六輕工業區東環路220路燈桿(附近),死亡1;受傷0,普通重型-機車;自用-小貨車
105年01月18日 08時27分,花蓮縣花蓮市化道路120號前(美崙所轄區)(附近),死亡1;受傷1,自用-小客車;行人-人;行人-人
105年01月18日 12時40分,屏東縣屏東市前進里高屏大橋慢車道往高雄方向(附近),死亡1;受傷1,普通重型-機車;行人-人
105年01月18日 13時33分,雲林縣西螺鎮新安里市場南路振社34電桿前(附近),死亡1;受傷0,普通重型-機車;自用-大貨車;自用-小貨車;自用-小貨車
105年01月18日 16時45分,南投縣水里鄉上安村台21線85公里400公尺處南向外側車道,死亡1;受傷1,自用-小貨車;自用-小貨車
105年01月18日 17時06分,嘉義縣水上鄉柳林村10鄰柳子林1162號前(附近)163線7公里400公尺處南向內側車道,死亡1;受傷0,普通重型-機車;自用-小貨車;營業用-小貨車
105年01月19日 06時25分,臺北市士林區至善路2段321號前0公尺數321號對面(衛理女中),死亡1;受傷0,自用-小客車;行人-人
105年01月19日 08時15分,臺北市中山區八德路2段前0公尺數復興北路路口,死亡1;受傷0,自用-小客車;民營客運-大客車;普通重型-機車;其他人-人
105年01月19日 12時13分,南投縣魚池鄉水社村台21線60.4公里（魚池往水社）(附近),死亡1;受傷1,自用-小客車;自用-小客車
105年01月19日 15時44分,臺南市北區公園北路北門路(口),死亡1;受傷0,營業用-全聯結車;腳踏自行車-慢車
105年01月19日 18時26分,雲林縣虎尾鎮廉使里廉使國小旁路口(附近),死亡1;受傷0,普通重型-機車;自用-小客車
105年01月19日 19時39分,新北市板橋區中山路2段505巷34號前0公尺數505巷34號,死亡1;受傷0,普通重型-機車;行人-人
105年01月19日 21時30分,屏東縣佳冬鄉台一線(南向)與文化路口。(附近),死亡1;受傷0,普通重型-機車;自用-小貨車
105年01月20日 06時00分,臺中市大甲區江南里經國路大安溪橋北上25橋墩處(附近),死亡1;受傷0,普通重型-機車;自用-小客車
105年01月20日 06時10分,新北市瑞芳區臺2線道路前0公尺數78.75公里,死亡1;受傷0,行人-人;營業用-曳引車
105年01月20日 07時45分,臺中市西屯區科園路機車專用道(科園路R56路燈)(附近),死亡1;受傷0,普通重型-機車
105年01月20日 13時05分,高雄市橋頭區成功北路前0公尺數林北路路口,死亡1;受傷0,營業用-曳引車;普通重型-機車
105年01月20日 18時06分,臺中市霧峰區北柳里新厝路227號,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月21日 00時25分,新北市土城區學府路1段前0公尺數學成路路口,死亡1;受傷1,人力車-慢車;普通重型-機車
105年01月21日 03時30分,基隆市中山區中華路光華路口(附近),死亡1;受傷0,自用-小客車;行人-人
105年01月21日 06時48分,高雄市大寮區光明路3段210號前0公尺數210號,死亡1;受傷0,普通重型-機車
105年01月21日 07時30分,苗栗縣苗栗市嘉盛里橋頭北1號旁﹝衛福部苗栗醫院側門旁﹞(附近),死亡1;受傷0,自用-小貨車;行人-人
105年01月21日 20時32分,彰化縣鹿港鎮台61線174.5K處橋下迴轉道,死亡1;受傷0,自用-小客車
105年01月21日 21時10分,彰化縣埤頭鄉彰興路,死亡1;受傷0,普通輕型-機車;自用-大貨車
105年01月21日 22時35分,桃園市八德區東勇北路146號,死亡1;受傷3,普通重型-機車;自用-小客車;自用-小客車;自用-小客車
105年01月21日 23時50分,臺中市東區東信里旱溪東路一段一心西街(口),死亡1;受傷1,租賃車-小客車;普通重型-機車
105年01月22日 10時44分,新北市泰山區新北大道7段28號前0公尺數28號,死亡1;受傷0,營業用-曳引車;普通重型-機車;自用-小貨車;自用-小客車
105年01月22日 15時20分,花蓮縣吉安鄉吉安路一段71號-太昌所轄區(附近),死亡1;受傷0,普通重型-機車;自用-小客車
105年01月22日 17時50分,花蓮縣瑞穗鄉台9線278公里400公尺處北向內側車道,死亡1;受傷1,普通重型-機車;自用-小貨車;普通重型-機車
105年01月22日 17時50分,宜蘭縣冬山鄉廣興大橋東端冬山鄉路燈57055號(附近)台7丙線22公里950公尺處西向中線車道,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月22日 20時49分,臺南市南區金華路一段金華路(口)95巷及100巷口(附近),死亡1;受傷1,普通重型-機車;行人-人
105年01月22日 21時18分,臺南市白河區秀祐里172線29.9公里(附近),死亡1;受傷0,營業用-大貨車
105年01月23日 02時10分,彰化縣鹿港鎮台61線180k處南下車道,死亡1;受傷0,自用-小貨車
105年01月23日 03時16分,臺中市西屯區臺灣大道三段朝富二街(口),死亡1;受傷0,自用-小客車;行人-人
105年01月23日 05時15分,雲林縣麥寮鄉麥豐村中山路427巷(麥寮24南11A電桿)(附近),死亡1;受傷1,自用-小客車;自用-小客車
105年01月23日 06時11分,嘉義縣竹崎鄉灣橋村16鄰灣橋146號前(附近)159線27公里400公尺處西向內側車道,死亡1;受傷0,自用-小貨車;行人-人
105年01月23日 21時20分,彰化縣埔鹽鄉成功路1段,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月24日 05時10分,臺北市大安區仁愛路3段前0公尺數復興南路路口,死亡1;受傷0,普通重型-機車
105年01月24日 06時08分,彰化縣溪湖鎮彰水路4段,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月24日 08時40分,嘉義縣水上鄉大崙村二重溝嘉南大圳灌溉溝圳支線旁(附近),死亡1;受傷0,自用-小客車
105年01月25日 05時20分,臺中市大甲區西岐里西濱快速公路順帆路(口),死亡1;受傷1,行人-人;自用-小客車
105年01月25日 07時35分,臺南市後壁區國道一號277公里680公尺處北向外側車道,死亡1;受傷0,自用-小客車
105年01月25日 21時48分,新北市板橋區板城路268號前0公尺數268號,死亡1;受傷0,普通重型-機車;自用-小貨車
105年01月26日 12時50分,臺東縣成功鎮忠孝里美山段(附近)台11線108公里400公尺處南向快車道,死亡1;受傷0,普通重型-機車;遊覽車-大客車
105年01月26日 13時20分,臺東縣台東市正氣北路、大業路口(附近),死亡1;受傷0,普通重型-機車;自用-小客車
105年01月26日 14時00分,高雄市三民區建國一路392號前0公尺數前(附近)392號前側附近,死亡1;受傷1,自用-大貨車;普通重型-機車;自用-小客車;普通重型-機車
105年01月26日 14時25分,高雄市茄萣區村正大路路燈編號前0公尺數前(附近)路燈編號3364號前側附近,死亡1;受傷0,普通重型-機車
105年01月26日 14時59分,桃園市大溪區復興路二段318號前(附近),死亡1;受傷0,營業用-曳引車;大型重型1-機車
105年01月27日 06時16分,臺北市南港區研究院路1段前0公尺數中南街路口,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小貨車
105年01月27日 07時50分,屏東縣長治鄉潭頭路與香潭二街街口(附近),死亡1;受傷0,自用-小客車;腳踏自行車-慢車
105年01月27日 08時56分,新北市土城區金城路3段216號前0公尺數216號,死亡1;受傷1,自用-小貨車;普通重型-機車;動力機械-其他車;普通重型-機車
105年01月27日 10時25分,臺中市南屯區文山里向上路過五權西路往市區方向第一個缺口(附近),死亡1;受傷0,普通重型-機車;自用-小客車;自用-大貨車
105年01月27日 14時38分,花蓮縣吉安鄉東海六街東里四街(口)-仁里所轄區(附近),死亡1;受傷0,普通輕型-機車;計程車-小客車
105年01月27日 18時39分,臺南市柳營區八翁里中山西路三段848巷,死亡1;受傷0,營業用-大貨車;行人-人
105年01月27日 19時22分,臺中市北屯區民德里東山路二段250巷(民德橋前(附近),死亡1;受傷0,農耕用車(或機械)-其他車;自用-小客車
105年01月27日 23時30分,臺南市歸仁區後市里民權北路、國光街-路口(附近),死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車
105年01月28日 07時10分,新北市泰山區楓江路148號前0公尺數148號,死亡1;受傷0,普通重型-機車;營業用-曳引車
105年01月28日 09時48分,高雄市茄萣區村莒光路2段路燈4號前0公尺數路燈4013號,死亡1;受傷0,普通重型-機車;自用-小貨車
105年01月28日 12時18分,臺南市安南區慶和路一段路燈桿55000115號前(附近),死亡1;受傷0,普通重型-機車
105年01月28日 20時10分,臺中市烏日區國道一號185公里700公尺處北向內側車道,死亡1;受傷0,自用-小客車;自用-小客車;其他人-人;自用-小客車;自用-小客車;民營客運-大客車
105年01月29日 01時30分,臺北市北投區文林北路前0公尺數自強街路口口,死亡1;受傷0,自用-小客車;行人-人
105年01月29日 09時29分,桃園市八德區大信里興豐路1216號前(附近),死亡1;受傷0,行人-人;自用-小客車
105年01月29日 10時04分,臺北市松山區民權東路4段36號前0公尺數36號對面車道,死亡1;受傷1,租賃車-小客車;拼裝車-其他車
105年01月29日 13時00分,嘉義縣民雄鄉國道一號259公里700公尺處北向外側車道,死亡1;受傷0,營業用-半聯結車;自用-大貨車;其他人-人
105年01月29日 13時18分,高雄市路竹區中山路前0公尺數忠孝路路口,死亡1;受傷0,普通輕型-機車;自用-小貨車
105年01月30日 01時11分,臺東縣台東市中興路二段729號旁路口(附近)台9線376公里500公尺處西向外側車道,死亡1;受傷1,腳踏自行車-慢車;自用-小貨車
105年01月30日 04時16分,新竹市北區中華路一段經國路一段口(附近),死亡1;受傷0,行人-人;自用-小客車;自用-小貨車;自用-小客車
105年01月30日 07時23分,苗栗縣竹南鎮大埔里中華路6號,死亡1;受傷0,營業用-曳引車;自用-小客車;自用-小客車;普通重型-機車
105年01月30日 07時35分,雲林縣東勢鄉四美村永安路1號(馬山厝19號電桿)(附近),死亡1;受傷0,普通輕型-機車
105年01月30日 08時26分,彰化縣伸港鄉興工路工五路(口),死亡1;受傷0,腳踏自行車-慢車;自用-曳引車
105年01月30日 09時43分,雲林縣斗六市中南路近萬年東路口(附近),死亡1;受傷0,普通輕型-機車
105年01月30日 10時20分,臺北市信義區基隆路地下道前0公尺數南往北入口,死亡1;受傷0,自用-小貨車;普通重型-機車
105年01月30日 16時22分,臺中市新社區中正里中和街五段56號,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月30日 19時55分,臺南市玉井區三和里臺20線35公里0公尺處東向路肩車道,死亡1;受傷0,普通重型-機車
105年01月31日 03時47分,新竹縣寶山鄉國道一號97公里300公尺處北向外側車道,死亡1;受傷0,營業用-半聯結車;營業用-半聯結車
105年01月31日 06時06分,臺中市南區長春里復興路三段民意街(口),死亡1;受傷0,自用-小客車;行人-人
105年01月31日 18時00分,臺南市將軍區長榮里南19線5.4公里路口(附近),死亡1;受傷0,自用-小客車;行人-人
105年01月31日 19時14分,嘉義縣民雄鄉中央村嘉76線4公里600公尺處東向一般車道,死亡1;受傷0,普通重型-機車
105年01月31日 21時09分,新北市八里區中山路3段前0公尺數訊塘一路路口,死亡1;受傷1,自用-小客車;普通輕型-機車
105年02月01日 15時50分,臺中市龍井區龍昌路台中火力發電廠前(附近),死亡1;受傷0,普通重型-機車
105年02月02日 00時18分,高雄市林園區工業二路前0公尺數林寮桿43電桿前,死亡1;受傷0,營業用-大貨車;行人-人
105年02月02日 08時24分,桃園市中壢區中豐北路民權路(口)(中豐北路往民權路慢車道)(附近),死亡1;受傷0,自用-大貨車;普通輕型-機車
105年02月02日 17時07分,臺北市士林區承德路4段前0公尺數大南路路口,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車
105年02月02日 20時10分,臺南市將軍區平沙里漁港聯外道與173甲線北上路口(附近),死亡1;受傷5,自用-小客車;自用-小貨車;自用-小貨車;自用-小客車;自用-小客車;自用-小客車
105年02月03日 11時39分,雲林縣莿桐鄉台1線246公里350公尺處北向外側車道,死亡1;受傷0,自用-小客車
105年02月03日 17時15分,屏東縣東港鎮台17線259公里200公尺處南向外側車道,死亡1;受傷0,租賃車-小客車;普通重型-機車;自用-小貨車
105年02月03日 20時40分,雲林縣二崙鄉油車村台19線40公里處(附近)台19線40公里0公尺處北向內側車道,死亡1;受傷0,行人-人;自用-小客車
105年02月03日 21時37分,臺北市內湖區民權東路6段前0公尺數瑞光路路口口,死亡1;受傷1,普通重型-機車;行人-人
105年02月04日 12時16分,苗栗縣頭份市親民路與台三線路口(附近),死亡1;受傷1,普通重型-機車;自用-大貨車;普通重型-機車
105年02月04日 14時00分,雲林縣斗南鎮石溪里延平路3段(石龜里豐田枝電桿59號前水溝)(附近),死亡1;受傷0,普通重型-機車
105年02月04日 16時40分,臺中市大雅區西寶里雅潭路三段路燈四六二號(附近),死亡1;受傷1,民營公車-大客車;普通重型-機車;普通重型-機車
105年02月05日 04時39分,桃園市楊梅區楊明里中山北路一段470號前(附近),死亡1;受傷0,普通重型-機車;營業用-大貨車;營業用-曳引車
105年02月05日 09時55分,臺中市潭子區潭北里人和路42號,死亡1;受傷0,自用-小貨車;普通重型-機車
105年02月05日 11時57分,新竹市東區台68快速道路9.6K(附近),死亡1;受傷0,自用-小客車;營業用-曳引車
105年02月05日 13時12分,花蓮縣花蓮市濟慈路中山路(口)以南約400公尺處(自強所轄)(附近),死亡1;受傷0,行人-人;自用-小客車;行人-人
105年02月05日 16時35分,嘉義縣鹿草鄉後堀村台電桿(後堀41A分13A分25A分10N1277DA74)(附近),死亡1;受傷0,普通重型-機車
105年02月05日 19時38分,臺東縣東河鄉隆昌村隆昌段(附近)台11線136公里400公尺處南向內側車道,死亡1;受傷1,普通重型-機車;自用-小貨車;自用-小貨車
105年02月05日 23時35分,高雄市鼓山區馬卡道路前0公尺數美術館路路口,死亡1;受傷0,自用-小客車;普通重型-機車
105年02月06日 03時53分,新竹市東區自由路27巷民主路(口),死亡1;受傷1,普通重型-機車;自用-小貨車;普通重型-機車
105年02月06日 05時15分,高雄市小港區松興路前0公尺數松南街路口,死亡1;受傷0,普通重型-機車
105年02月06日 05時48分,臺北市中正區羅斯福路3段前0公尺數金門街路口,死亡1;受傷0,自用-小客車;行人-人
105年02月06日 05時50分,雲林縣莿桐鄉義和村台一線與三和路口(附近),死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
105年02月06日 06時55分,高雄市鳳山區新富路前0公尺數凱旋路路口,死亡1;受傷0,自用-小貨車;普通重型-機車
105年02月06日 17時28分,桃園市大溪區埔頂路一段447號,死亡1;受傷0,大型重型1-機車;自用-小客車;自用-小客車
105年02月07日 05時54分,宜蘭縣羅東鎮公正路中華路(口),死亡1;受傷0,普通重型-機車;民營客運-大客車
105年02月07日 06時04分,花蓮縣玉里鎮圓環內東北側(附近),死亡1;受傷0,行人-人;民營客運-大客車
105年02月07日 08時30分,新竹市東區光復路一段89巷103號,死亡1;受傷0,行人-人;自用-小客車
105年02月07日 12時50分,桃園市大溪區康莊路643-7號對面(附近),死亡1;受傷0,普通重型-機車
105年02月07日 13時30分,臺東縣台東市臨海路一段桂林南路(口),死亡1;受傷0,普通輕型-機車;自用-小客車
105年02月08日 07時22分,南投縣魚池鄉水社村台21線63公里900公尺處南向內側車道,死亡1;受傷0,大型重型2-機車;普通重型-機車
105年02月08日 10時00分,南投縣埔里鎮西安路一段539號台21線043公里800公尺處北向內側車道,死亡1;受傷0,自用-小客車;普通重型-機車
105年02月08日 12時41分,彰化縣線西鄉線伸路東興路(口),死亡2;受傷1,自用-小貨車;普通輕型-機車;普通輕型-機車
105年02月08日 18時51分,高雄市大寮區高屏大橋路前0公尺數東向第17燈桿前,死亡1;受傷1,大型重型2-機車;普通重型-機車;大型重型2-機車
105年02月09日 06時46分,苗栗縣造橋鄉8.4公里處(附近)台13甲線8公里4公尺處南向外側車道,死亡1;受傷2,自用-小貨車;自用-小客車;自用-小客車
105年02月09日 12時00分,雲林縣莿桐鄉新庄路1-10號台1線232公里0公尺處北向內側車道,死亡1;受傷0,自用-小客車;普通輕型-機車
105年02月09日 13時05分,基隆市信義區信一路12號,死亡1;受傷0,行人-人;自用-小客車
105年02月09日 16時58分,新竹縣橫山鄉豐田村橫山鄉豐田村河堤道路(附近),死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車
105年02月09日 18時54分,臺北市士林區中山北路5段前0公尺數516號燈桿前,死亡1;受傷2,大型重型2-機車;行人-人;大型重型2-機車
105年02月10日 10時06分,臺南市安南區長和路一段環館路(口)70公尺處(附近),死亡1;受傷0,普通重型-機車
105年02月10日 15時18分,基隆市仁愛區仁二路126號,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
105年02月10日 17時27分,嘉義縣中埔鄉富收村富裕路288號嘉139線4公里0公尺處西向內側車道,死亡1;受傷0,行人-人;自用-小客車
105年02月10日 21時10分,臺東縣大武鄉南興村台9線442公里0公尺處南向內側車道,死亡1;受傷0,普通重型-機車;自用-小客車
